date,state,county,retail,grocery,parks,transit,workplaces,residential,Non_Residential
2020-03-02,Virginia,Mecklenburg County,8.0,1.0,,11.0,5.0,-2.0,6.25
2020-03-02,Virginia,Middlesex County,,10.0,,,0.0,,5.0
2020-03-02,Virginia,Montgomery County,8.0,7.0,,9.0,15.0,0.0,9.75
2020-03-02,Virginia,Nelson County,,9.0,,,1.0,,5.0
2020-03-02,Virginia,New Kent County,11.0,-4.0,,8.0,4.0,,4.75
2020-03-02,Virginia,Newport News,8.0,11.0,38.0,5.0,6.0,-2.0,13.6
2020-03-02,Virginia,Norfolk,11.0,9.0,30.0,1.0,8.0,-2.0,11.8
2020-03-02,Virginia,Northampton County,11.0,9.0,,,4.0,,8.0
2020-03-02,Virginia,Northumberland County,,-2.0,,,5.0,,1.5
2020-03-02,Virginia,Norton,15.0,,,,,,15.0
2020-03-02,Virginia,Nottoway County,18.0,21.0,,,0.0,,13.0
2020-03-02,Virginia,Orange County,9.0,7.0,,,6.0,-1.0,7.333333333333333
2020-03-02,Virginia,Page County,0.0,8.0,,,7.0,,5.0
2020-03-02,Virginia,Patrick County,13.0,29.0,,,7.0,,16.333333333333332
2020-03-02,Virginia,Petersburg,20.0,9.0,,18.0,0.0,-2.0,11.75
2020-03-02,Virginia,Pittsylvania County,13.0,8.0,,,4.0,-1.0,8.333333333333334
2020-03-02,Virginia,Poquoson,42.0,-6.0,,,2.0,,12.666666666666666
2020-03-02,Virginia,Portsmouth,18.0,8.0,,14.0,6.0,-2.0,11.5
2020-03-02,Virginia,Powhatan County,19.0,0.0,,,2.0,0.0,7.0
2020-03-02,Virginia,Prince Edward County,7.0,3.0,,,-7.0,,1.0
2020-03-02,Virginia,Prince George County,15.0,12.0,,4.0,4.0,-1.0,8.75
2020-03-02,Virginia,Prince William County,4.0,5.0,18.0,5.0,5.0,-1.0,7.4
2020-03-02,Virginia,Pulaski County,14.0,8.0,,,7.0,1.0,9.666666666666666
2020-03-02,Virginia,Radford,8.0,20.0,,,2.0,,10.0
2020-03-02,Virginia,Richmond,8.0,9.0,11.0,3.0,6.0,-1.0,7.4
2020-03-02,Virginia,Richmond County,14.0,9.0,,,7.0,,10.0
2020-03-02,Virginia,Roanoke,7.0,4.0,-15.0,-2.0,2.0,0.0,-0.8
2020-03-02,Virginia,Roanoke County,5.0,-1.0,,,10.0,0.0,4.666666666666667
2020-03-02,Virginia,Rockbridge County,-4.0,,,-8.0,3.0,,-3.0
2020-03-02,Virginia,Rockingham County,6.0,0.0,,7.0,1.0,0.0,3.5
2020-03-02,Virginia,Russell County,22.0,-1.0,,,1.0,,7.333333333333333
2020-03-02,Virginia,Salem,4.0,6.0,,,6.0,-2.0,5.333333333333333
2020-03-02,Virginia,Scott County,11.0,-4.0,,,1.0,,2.6666666666666665
2020-03-02,Virginia,Shenandoah County,15.0,0.0,,-7.0,1.0,0.0,2.25
2020-03-02,Virginia,Smyth County,20.0,-1.0,,,2.0,1.0,7.0
2020-03-02,Virginia,Southampton County,17.0,12.0,,,1.0,,10.0
2020-03-02,Virginia,Spotsylvania County,9.0,7.0,,,4.0,-1.0,6.666666666666667
2020-03-02,Virginia,Stafford County,7.0,2.0,38.0,,14.0,-2.0,15.25
2020-03-02,Virginia,Staunton,6.0,5.0,,,3.0,0.0,4.666666666666667
2020-03-02,Virginia,Suffolk,12.0,10.0,,14.0,3.0,-2.0,9.75
2020-03-02,Virginia,Surry County,,,,,-3.0,,-3.0
2020-03-02,Virginia,Sussex County,24.0,5.0,,-6.0,7.0,,7.5
2020-03-02,Virginia,Tazewell County,17.0,3.0,,,4.0,1.0,8.0
2020-03-02,Virginia,Virginia Beach,9.0,7.0,52.0,0.0,4.0,-1.0,14.4
2020-03-02,Virginia,Warren County,6.0,-2.0,,,2.0,0.0,2.0
2020-03-02,Virginia,Washington County,12.0,12.0,,-4.0,-8.0,1.0,3.0
2020-03-02,Virginia,Waynesboro,12.0,4.0,,,2.0,0.0,6.0
2020-03-02,Virginia,Westmoreland County,,14.0,,,9.0,,11.5
2020-03-02,Virginia,Williamsburg,12.0,18.0,,,20.0,,16.666666666666668
2020-03-02,Virginia,Winchester,10.0,2.0,,,1.0,-1.0,4.333333333333333
2020-03-02,Virginia,Wise County,19.0,2.0,,,4.0,0.0,8.333333333333334
2020-03-02,Virginia,Wythe County,11.0,3.0,,-5.0,4.0,0.0,3.25
2020-03-02,Virginia,York County,13.0,3.0,21.0,,5.0,-1.0,10.5
2020-03-03,Virginia,Accomack County,18.0,8.0,,,2.0,-2.0,9.333333333333334
2020-03-03,Virginia,Albemarle County,14.0,14.0,,18.0,-9.0,1.0,9.25
2020-03-03,Virginia,Alexandria,10.0,12.0,37.0,0.0,0.0,1.0,11.8
2020-03-03,Virginia,Alleghany County,16.0,,,18.0,0.0,,11.333333333333334
2020-03-03,Virginia,Amelia County,14.0,3.0,,,7.0,,8.0
2020-03-03,Virginia,Amherst County,24.0,9.0,,,3.0,-2.0,12.0
2020-03-03,Virginia,Appomattox County,25.0,,,,2.0,,13.5
