,Locality,locality_fips,rural_or_non_rural_flag,pct_no_high_school_diploma_loc,pct_high_school_grad_loc,pct_Some_College_Associates_loc,pct_bachelors_degree_+_loc,Non_Residential_7d_Rolling,max_mob_reduction
54,Caroline,51033,Non-Rural,0.14294266,0.379056741,0.29837089,0.179629709,-38.1904761904762,38.1904761904762
55,Gloucester,51073,Non-Rural,0.102246139,0.325355973,0.357009158,0.215388729,-31.952380952380967,31.952380952380967
56,Patrick,51141,Rural,0.189385131,0.346761507,0.319061624,0.144791738,-36.57142857142859,36.57142857142859
57,Powhatan,51145,Non-Rural,0.116425264,0.306290617,0.307649832,0.269634286,-46.428571428571445,46.428571428571445
58,Shenandoah,51171,Rural,0.125572788,0.387674774,0.295852426,0.190900012,-28.285714285714302,28.285714285714302
59,Fauquier,51061,Non-Rural,0.077530846,0.279811275,0.304974631,0.337683249,-38.23809523809525,38.23809523809525
60,Fluvanna,51065,Non-Rural,0.089877055,0.255358236,0.338781855,0.315982854,-43.14285714285715,43.14285714285715
61,Accomack,51001,Rural,0.182887534,0.383632905,0.25125199,0.182227571,-24.428571428571427,24.428571428571427
62,Craig,51045,Non-Rural,0.083513839,0.424308063,0.271480144,0.220697954,-39.57142857142858,39.57142857142858
63,Floyd,51063,Rural,0.126859766,0.370053814,0.298987021,0.204099399,-38.2857142857143,38.2857142857143
64,Giles,51071,Non-Rural,0.110935738,0.385644495,0.333333333,0.170086434,-34.71428571428573,34.71428571428573
65,Grayson,51077,Rural,0.180282767,0.375238823,0.313412304,0.131066106,-31.428571428571445,31.428571428571445
66,Nottoway,51135,Rural,0.195900322,0.386575563,0.281270096,0.136254019,-29.57142857142859,29.57142857142859
67,Rappahannock,51157,Rural,0.127586207,0.281937603,0.262889984,0.327586207,-33.42857142857145,33.42857142857145
68,Charles City,51036,Non-Rural,0.193825911,0.386133603,0.2798583,0.140182186,-40.14285714285715,40.14285714285715
69,Culpeper,51047,Rural,0.137077483,0.330057202,0.297269891,0.235595424,-35.61904761904763,35.61904761904763
70,Dinwiddie,51053,Non-Rural,0.163450925,0.358956245,0.307519096,0.170073734,-30.71428571428572,30.71428571428572
71,Greene,51079,Non-Rural,0.134336415,0.30483773,0.286080561,0.274745294,-44.000000000000014,44.000000000000014
72,Hanover,51085,Non-Rural,0.071623299,0.266594455,0.295499355,0.366282891,-32.107142857142875,32.107142857142875
73,Lunenburg,51111,Rural,0.210468703,0.419345208,0.266792716,0.103393372,-34.428571428571445,34.428571428571445
74,Orange,51137,Rural,0.114928192,0.352802822,0.297494744,0.234774242,-23.85714285714288,23.85714285714288
75,Wythe,51197,Rural,0.138713309,0.374751061,0.302666898,0.183868733,-28.89285714285716,28.89285714285716
76,Albemarle,51003,Non-Rural,0.076994001,0.183550804,0.246901333,0.492553862,-44.0,44.0
77,Bedford,51019,Non-Rural,0.099244083,0.309989932,0.315087977,0.275678008,-47.14285714285715,47.14285714285715
78,Buckingham,51029,Rural,0.191269385,0.437607697,0.252728317,0.118394601,-37.00000000000001,37.00000000000001
79,Wise,51195,Rural,0.22698556,0.306536875,0.328906653,0.137570913,-36.666666666666686,36.666666666666686
80,Alleghany,51005,Rural,0.136581795,0.408687871,0.312698284,0.142032051,-28.071428571428577,28.071428571428577
81,Westmoreland,51193,Rural,0.150006942,0.351103707,0.314382896,0.184506456,-38.85714285714288,38.85714285714288
82,Northumberland,51133,Non-Rural,0.092407015,0.33513201,0.295143573,0.277317402,-30.000000000000018,30.000000000000018
83,Pulaski,51155,Non-Rural,0.120724633,0.344342812,0.344663131,0.190269424,-30.071428571428594,30.071428571428594
84,Warren,51187,Non-Rural,0.128069206,0.367914404,0.303879801,0.20013659,-34.857142857142875,34.857142857142875
85,Amherst,51009,Non-Rural,0.134975331,0.361461352,0.322186546,0.181376772,-26.71428571428572,26.71428571428572
86,Bath,51017,Rural,0.091543399,0.453251465,0.31565727,0.139547865,-68.42857142857143,68.42857142857143
87,Frederick,51069,Non-Rural,0.112119024,0.329798117,0.293738905,0.264343954,-27.84285714285716,27.84285714285716
88,York,51199,Non-Rural,0.058275509,0.204669772,0.305931925,0.431122794,-33.250000000000014,33.250000000000014
89,Nelson,51125,Non-Rural,0.142999089,0.357704728,0.215947669,0.283348514,-45.000000000000014,45.000000000000014
90,Pittsylvania,51143,Non-Rural,0.171896757,0.351643695,0.335459003,0.141000545,-21.57142857142859,21.57142857142859
91,Amelia,51007,Non-Rural,0.164783335,0.397071829,0.275130196,0.163014641,-39.35714285714287,39.35714285714287
92,Chesterfield,51041,Non-Rural,0.083112155,0.247734035,0.299229763,0.369924047,-22.514285714285723,22.514285714285723
93,Fairfax,51059,Non-Rural,0.080859068,0.140361356,0.205763281,0.573016295,-46.26428571428573,46.26428571428573
