Locality,locality_fips,state_name,state_fips,rural_or_non_rural_flag,pct_no_high_school_diploma_loc,cnt_no_high_school_diploma_loc,pct_high_school_grad_loc,cnt_total_high_school_grad_loc,pct_total_high_school_grad_loc,pct_total_high_school_grad_locality_avg,cnt_high_school_grad_loc,pct_Some_College_Associates_loc,cnt_Some_College_Associates_loc,pct_bachelors_degree_+_loc,cnt_bachelors_degree_+_loc,pct_SOL_pass_rate_2019_loc,pct_SOL_pass_rate_white_loc,pct_SOL_pass_rate_black_loc,pct_SOL_pass_rate_asian_loc,pct_SOL_pass_rate_hispanic_loc,pct_high_school_grad_Caucasian_loc,pct_high_school_grad_Black_loc,pct_high_school_grad_Asian_loc,pct_high_school_grad_Hispanic_loc,pct_bachelors_degree_Caucasian_loc,pct_bachelors_degree_Black_loc,pct_bachelors_degree_Asian_loc,pct_bachelors_degree_Hispanic_loc,pct_poverty_education_no_high_school_loc,pct_poverty_education_high_school_loc,pct_poverty_education_bachelors_or_higher_loc,pct_pursuing_HighEd_All,cnt_pursuing_HighEd_All
Greene,51079,Virginia,51,Non-Rural,0.134336415,1991,0.30483773,12830,0.865663585,0.897295305,4518,0.286080561,4240,0.274745294,4072,0.734,0.764,0.598,0.932,0.608,0.855,0.881,0.702,0.944,0.297,0.246,0.445,0.209,0.132,0.087,0.035,0.67,137
Hanover,51085,Virginia,51,Non-Rural,0.071623299,5885,0.266594455,76281,0.928376701,0.897295305,21905,0.295499355,24280,0.366282891,30096,0.842,0.872,0.696,0.862,0.734,0.945,0.844,0.886,0.837,0.409,0.287,0.503,0.327,0.137,0.067,0.021,0.75,1049
Lunenburg,51111,Virginia,51,Rural,0.210468703,2115,0.419345208,7934,0.789531297,0.897295305,4214,0.266792716,2681,0.103393372,1039,0.728,0.798,0.608,,0.736,0.804,0.732,0.582,0.819,0.126,0.096,0.143,0.039,0.223,0.091,0.073,0.57,52
Orange,51137,Virginia,51,Rural,0.114928192,3225,0.352802822,24836,0.885071808,0.897295305,9900,0.297494744,8348,0.234774242,6588,0.798,0.822,0.72,0.926666667,0.77,0.898,0.846,0.773,0.761,0.274,0.153,0.357,0.116,0.14,0.071,0.027,0.53,183
Emporia,51595,Virginia,51,Non-Rural,0.207323363,804,0.342186694,3074,0.792676637,0.897295305,1327,0.321299639,1246,0.129190304,501,0.628,0.796,0.566,0.886666667,0.526,0.881,0.758,1,0.697,0.238,0.101,0,0.106,0.361,0.203,0.062,0.558441558,86
Wythe,51197,Virginia,51,Rural,0.138713309,3204,0.374751061,19894,0.861286691,0.897295305,8656,0.302666898,6991,0.183868733,4247,0.852,0.856,0.748,1,0.88,0.863,0.86,1,0.593,0.195,0.086,0.406,0,0.281,0.145,0.039,0.63,195
Chesapeake,51550,Virginia,51,Non-Rural,0.08319949,15126,0.253349761,166678,0.91680051,0.897295305,46060,0.357736903,65038,0.305713846,55580,0.84,0.904,0.73,0.942,0.836,0.942,0.894,0.885,0.846,0.349,0.28,0.495,0.279,0.186,0.091,0.019,0.7,2045
Harrisonburg,51660,Virginia,51,Non-Rural,0.106229243,4734,0.242886635,39830,0.893770757,0.897295305,10824,0.400031415,17827,0.250852706,11179,0.688,0.798,0.574,0.86,0.616,0.919,0.855,0.749,0.583,0.451,0.322,0.365,0.081,0.181,0.197,0.064,0.65,252
Albemarle,51003,Virginia,51,Non-Rural,0.076994001,6597,0.183550804,79085,0.923005999,0.897295305,15727,0.246901333,21155,0.492553862,42203,0.792,0.866,0.536,0.892,0.608,0.94,0.835,0.893,0.766,0.595,0.192,0.705,0.324,0.206,0.115,0.036,0.78,775
Bedford,51019,Virginia,51,Non-Rural,0.099244083,6210,0.309989932,56363,0.900755917,0.897295305,19397,0.315087977,19716,0.275678008,17250,0.792,0.814,0.618,0.9,0.754,0.908,0.836,0.827,0.825,0.296,0.205,0.475,0.207,0.218,0.094,0.033,0.67,465
Buckingham,51029,Virginia,51,Rural,0.191269385,2664,0.437607697,11264,0.808730615,0.897295305,6095,0.252728317,3520,0.118394601,1649,0.646,0.758,0.498,,0.658,0.837,0.737,1,0.62,0.149,0.081,0.571,0.111,0.211,0.151,0.076,0.49,55
Wise,51195,Virginia,51,Rural,0.22698556,7042,0.306536875,23982,0.77301444,0.897295305,9510,0.328906653,10204,0.137570913,4268,0.87,0.872,0.762,0.9,0.8725,0.769,0.637,0.945,0.662,0.155,0.037,0.719,0.046,0.294,0.184,0.056,0.63,293
Covington,51580,Virginia,51,Rural,0.126039092,561,0.442821838,3890,0.873960908,0.897295305,1971,0.274545046,1222,0.156594024,697,0.712,0.76,0.562,,0.55,0.893,0.743,1,1,0.153,0.081,0.588,0.571,0.163,0.124,0.04,0.55,37
Portsmouth,51740,Virginia,51,Non-Rural,0.11477616,8358,0.309997254,64462,0.88522384,0.897295305,22574,0.374279044,27255,0.200947542,14633,0.716,0.838,0.676,0.864,0.8,0.914,0.854,0.889,0.91,0.255,0.184,0.334,0.256,0.235,0.151,0.037,0.5,414
Virginia Beach,51810,Virginia,51,Non-Rural,0.066224806,23171,0.22532325,326713,0.933775194,0.897295305,78837,0.379851608,132904,0.328600336,114972,0.844,0.902,0.71,0.934,0.824,0.957,0.911,0.882,0.845,0.394,0.264,0.406,0.255,0.15,0.076,0.026,0.66,3078
Alleghany,51005,Virginia,51,Rural,0.136581795,1679,0.408687871,10614,0.863418205,0.897295305,5024,0.312698284,3844,0.142032051,1746,0.696,0.712,0.516,1,0.672,0.862,0.818,1,0.935,0.15,0.159,0.563,0.136,0.352,0.187,0.029,0.58,97
Galax,51640,Virginia,51,Rural,0.231824417,1183,0.295512444,3920,0.768175583,0.897295305,1508,0.335097002,1710,0.137566138,702,0.798,0.866,0.725,,0.696,0.808,0.49,0,0.35,0.171,0,0,0.038,0.272,0.251,0.074,0.68,56
Westmoreland,51193,Virginia,51,Rural,0.150006942,2161,0.351103707,12245,0.849993058,0.897295305,5058,0.314382896,4529,0.184506456,2658,0.72727261,0.814700904,0.620628984,0,0.705923127,0.91,0.71,1,0.566,0.235,0.058,0.333,0.209,0.278,0.172,0.049,0.559748428,89
Northumberland,51133,Virginia,51,Non-Rural,0.092407015,959,0.33513201,9419,0.907592985,0.897295305,3478,0.295143573,3063,0.277317402,2878,0.724,0.826,0.578,,0.808,0.934,0.848,1,1,0.357,0.074,1,0.776,0.182,0.174,0.064,0.66,71
Pulaski,51155,Virginia,51,Non-Rural,0.120724633,3392,0.344342812,24705,0.879275367,0.897295305,9675,0.344663131,9684,0.190269424,5346,0.728,0.748,0.554,0.92,0.68,0.88,0.782,1,0.653,0.202,0.077,0.682,0.185,0.295,0.141,0.026,0.61,188
Warren,51187,Virginia,51,Non-Rural,0.128069206,3938,0.367914404,26811,0.871930794,0.897295305,11313,0.303879801,9344,0.20013659,6154,0.746,0.762,0.644,0.792,0.642,0.877,0.833,0.895,0.665,0.218,0.203,0.247,0.196,0.144,0.083,0.04,0.48,184
Danville,51590,Virginia,51,Non-Rural,0.180130222,5782,0.318016138,26317,0.819869778,0.897295305,10208,0.339013676,10882,0.162839964,5227,0.504,0.682,0.434,0.875,0.588,0.851,0.789,0.856,0.613,0.256,0.094,0.479,0.07,0.328,0.187,0.059,0.63,199
Fredericksburg,51630,Virginia,51,Non-Rural,0.090374497,2044,0.227306893,20573,0.909625503,0.897295305,5141,0.332006897,7509,0.350311712,7923,0.604,0.772,0.482,0.8,0.528,0.961,0.91,0.828,0.431,0.508,0.241,0.383,0.174,0.211,0.203,0.021,0.64,134
Amherst,51009,Virginia,51,Non-Rural,0.134975331,3447,0.361461352,22091,0.865024669,0.897295305,9231,0.322186546,8228,0.181376772,4632,0.782,0.82,0.674,0.925,0.802,0.868,0.79,1,0.824,0.207,0.112,0.697,0.139,0.229,0.1,0.043,0.49,115
Bath,51017,Virginia,51,Rural,0.091543399,328,0.453251465,3255,0.908456601,0.897295305,1624,0.31565727,1131,0.139547865,500,0.804,0.8,,,,0.908,0.989,1,0.833,0.166,0,1,0,0.243,0.156,0.089,0.71,29
Hopewell,51670,Virginia,51,Non-Rural,0.18338126,3061,0.37413132,13631,0.81661874,0.897295305,6245,0.300323508,5013,0.142163911,2373,0.674,0.764,0.624,0.8925,0.734,0.827,0.805,0.549,0.84,0.132,0.156,0.41,0.126,0.267,0.194,0.102,0.5,115
Newport News,51700,Virginia,51,Non-Rural,0.086352106,11914,0.298898311,126056,0.913647894,0.897295305,41239,0.382278756,52743,0.232470827,32074,0.67,0.822,0.598,0.882,0.668,0.948,0.892,0.785,0.795,0.331,0.189,0.336,0.15,0.29,0.153,0.054,0.53,898
Frederick,51069,Virginia,51,Non-Rural,0.112119024,7453,0.329798117,59021,0.887880976,0.897295305,21923,0.293738905,19526,0.264343954,17572,0.776,0.81,0.658,0.88,0.684,0.91,0.876,0.964,0.635,0.295,0.142,0.507,0.146,0.104,0.075,0.018,0.63,585
Lynchburg,51680,Virginia,51,Non-Rural,0.091068382,5925,0.254853138,59136,0.908931618,0.897295305,16581,0.363581869,23655,0.290496611,18900,0.682,0.844,0.546,0.886,0.73,0.916,0.832,0.903,0.828,0.443,0.144,0.63,0.331,0.277,0.141,0.083,0.72,345
York,51199,Virginia,51,Non-Rural,0.058275509,3015,0.204669772,48722,0.941724491,0.897295305,10589,0.305931925,15828,0.431122794,22305,0.884,0.908,0.76,0.936,0.858,0.963,0.896,0.884,0.901,0.485,0.348,0.614,0.413,0.179,0.083,0.015,0.75,691
Martinsville,51690,Virginia,51,Rural,0.16791389,1638,0.28764736,8117,0.83208611,0.897295305,2806,0.352024603,3434,0.192414147,1877,0.686,0.83,0.612,0.9875,0.734,0.847,0.811,0.579,0.772,0.275,0.144,0.372,0.104,0.332,0.258,0.043,0.59,77
Nelson,51125,Virginia,51,Non-Rural,0.142999089,1727,0.357704728,10350,0.857000911,0.897295305,4320,0.215947669,2608,0.283348514,3422,0.798,0.828,0.696,,0.792,0.872,0.764,1,0.837,0.335,0.17,0.424,0.052,0.315,0.094,0.043,0.45,63
Pittsylvania,51143,Virginia,51,Non-Rural,0.171896757,8518,0.351643695,41035,0.828103243,0.897295305,17425,0.335459003,16623,0.141000545,6987,0.826,0.852,0.744,0.9525,0.804,0.855,0.731,0.89,0.672,0.156,0.092,0.623,0.153,0.234,0.137,0.05,0.62,403
Buena Vista City,51530,Virginia,51,Rural,0.156614786,805,0.369649805,4335,0.843385214,0.897295305,1900,0.338910506,1742,0.134824903,693,0.712,0.708,0.7675,,0.82,0.805,0.821,1,1,0.159,0.103,0,0.593,0.332,0.226,0.083,0.56,55
Falls Church,51610,Virginia,51,Non-Rural,0.016503206,175,0.077895134,10429,0.983496794,0.897295305,826,0.175594115,1862,0.730007544,7741,0.916,0.946,0.786,0.924,0.792,0.995,0.913,0.973,1,0.831,0.623,0.717,0.517,0,0.095,0.013,0.9,180
Petersburg,51730,Virginia,51,Non-Rural,0.162206002,4000,0.369140308,20660,0.837793998,0.897295305,9103,0.284184915,7008,0.184468775,4549,0.482,0.554,0.478,,0.464,0.885,0.828,0.929,0.566,0.369,0.157,0.537,0.221,0.409,0.206,0.052,0.43,92
Poquoson,51735,Virginia,51,Non-Rural,0.067501592,636,0.249628529,8786,0.932498408,0.897295305,2352,0.28093823,2647,0.401931649,3787,0.912,0.912,0.765,0.9625,0.964,0.954,0.699,0.825,1,0.43,0.097,0.543,0.239,0.046,0.103,0.024,0.7,114
Fairfax City,51600,Virginia,51,Non-Rural,0.06574773,1202,0.142435182,17080,0.93425227,0.897295305,2604,0.230609343,4216,0.561207745,10260,0.80495351,0.890488805,0.698611006,0.850273435,0.677906452,0.974,0.983,0.935,0.82,0.67,0.585,0.672,0.308,0.14,0.042,0.044,0,0
Waynesboro,51820,Virginia,51,Rural,0.132728772,2254,0.353550819,14728,0.867271228,0.897295305,6004,0.261099988,4434,0.252620422,4290,0.648,0.72,0.468,0.885,0.568,0.891,0.708,0.922,0.729,0.285,0.184,0.721,0.174,0.276,0.139,0.043,0.52,99
Roanoke City,51770,Virginia,51,Non-Rural,0.14010422,10862,0.340457641,66666,0.85989578,0.897295305,26395,0.297311939,23050,0.2221262,17221,0.7,0.818,0.614,0.748,0.678,0.889,0.826,0.843,0.722,0.288,0.081,0.583,0.13,0.306,0.213,0.057,0.54,404
Suffolk,51800,Virginia,51,Non-Rural,0.105030063,7162,0.28275407,61028,0.894969937,0.897295305,19281,0.341047074,23256,0.271168793,18491,0.782,0.884,0.712,0.944,0.844,0.943,0.836,0.86,0.896,0.34,0.229,0.475,0.253,0.263,0.099,0.03,0.6,544
Norfolk,51710,Virginia,51,Non-Rural,0.104217478,20468,0.273700718,175929,0.895782522,0.897295305,53754,0.38273497,75168,0.239346833,47007,0.66,0.844,0.57,0.87,0.688,0.936,0.821,0.91,0.799,0.39,0.155,0.451,0.246,0.276,0.181,0.058,0.52,791
Amelia,51007,Virginia,51,Non-Rural,0.164783335,1677,0.397071829,8500,0.835216665,0.897295305,4041,0.275130196,2800,0.163014641,1659,0.786,0.822,0.664,,0.818,0.852,0.799,0,0.761,0.178,0.137,0,0.149,0.231,0.098,0.039,0.54,73
Chesterfield,51041,Virginia,51,Non-Rural,0.083112155,21732,0.247734035,239746,0.916887845,0.897295305,64777,0.299229763,78242,0.369924047,96727,0.794,0.876,0.676,0.91,0.698,0.946,0.938,0.905,0.67,0.445,0.322,0.577,0.206,0.18,0.075,0.026,0.7,3144
Fairfax,51059,Virginia,51,Non-Rural,0.080859068,70804,0.140361356,804843,0.919140932,0.897295305,122907,0.205763281,180176,0.573016295,501760,0.836101319,0.901379312,0.749510228,0.898828833,0.733247728,0.981,0.925,0.908,0.73,0.721,0.473,0.634,0.289,0.153,0.085,0.027,0.821167883,10575
