Locality,locality_fips,state_name,state_fips,rural_or_non_rural_flag,pct_no_high_school_diploma_loc,cnt_no_high_school_diploma_loc,pct_high_school_grad_loc,cnt_total_high_school_grad_loc,pct_total_high_school_grad_loc,pct_total_high_school_grad_locality_avg,cnt_high_school_grad_loc,pct_Some_College_Associates_loc,cnt_Some_College_Associates_loc,pct_bachelors_degree_+_loc,cnt_bachelors_degree_+_loc,pct_SOL_pass_rate_2019_loc,pct_SOL_pass_rate_white_loc,pct_SOL_pass_rate_black_loc,pct_SOL_pass_rate_asian_loc,pct_SOL_pass_rate_hispanic_loc,pct_high_school_grad_Caucasian_loc,pct_high_school_grad_Black_loc,pct_high_school_grad_Asian_loc,pct_high_school_grad_Hispanic_loc,pct_bachelors_degree_Caucasian_loc,pct_bachelors_degree_Black_loc,pct_bachelors_degree_Asian_loc,pct_bachelors_degree_Hispanic_loc,pct_poverty_education_no_high_school_loc,pct_poverty_education_high_school_loc,pct_poverty_education_bachelors_or_higher_loc,pct_pursuing_HighEd_All,cnt_pursuing_HighEd_All
Alexandria,51510,Virginia,51,Non-Rural,0.074832727,9652,0.126879153,119329,0.925167273,0.897295305,16365,0.194625565,25103,0.603662555,77861,0.694,0.902,0.66,0.798,0.558,0.988,0.907,0.926,0.73,0.801,0.371,0.659,0.326,0.279,0.156,0.029,0.71,526
Hampton,51650,Virginia,51,Non-Rural,0.084765651,9030,0.291404219,97499,0.915234349,0.897295305,31043,0.384599499,40971,0.239230632,25485,0.75,0.834,0.704,0.886,0.788,0.926,0.918,0.759,0.871,0.276,0.257,0.373,0.252,0.219,0.169,0.045,0.51,666
Arlington,51013,Virginia,51,Non-Rural,0.059266169,11373,0.083956497,180524,0.940733831,0.897295305,16111,0.122914897,23587,0.733862437,140826,0.844,0.946,0.71,0.88,0.702,0.992,0.889,0.937,0.758,0.86,0.472,0.78,0.43,0.204,0.136,0.034,0.79,1210
Buchanan,51027,Virginia,51,Rural,0.284802329,5086,0.357654833,12772,0.715197671,0.897295305,6387,0.246332176,4399,0.111210662,1986,0.752,0.752,,,,0.695,0.838,0.972,1,0.11,0.182,0.873,0.632,0.333,0.256,0.148,0.66,127
Stafford,51179,Virginia,51,Non-Rural,0.07353891,7970,0.248943513,100408,0.92646109,0.897295305,26980,0.316641754,34317,0.360875824,39111,0.798,0.858,0.708,0.836,0.74,0.954,0.941,0.883,0.801,0.427,0.384,0.498,0.224,0.085,0.063,0.014,0.71,1554
Richmond City,51760,Virginia,51,Non-Rural,0.134320123,25073,0.220597216,161593,0.865679877,0.897295305,41178,0.287106383,53593,0.357976278,66822,0.558,0.838,0.49,0.83,0.532,0.957,0.788,0.817,0.508,0.655,0.155,0.625,0.143,0.351,0.244,0.051,0.53,521
Essex,51057,Virginia,51,Rural,0.163912003,1438,0.381739428,7335,0.836087997,0.897295305,3349,0.286105095,2510,0.168243474,1476,0.624,0.732,0.554,0.79,0.6575,0.861,0.746,0.759,1,0.223,0.083,0.407,0.213,0.247,0.18,0.072,0.56,44
Tazewell,51185,Virginia,51,Rural,0.17805975,5978,0.361302237,27595,0.82194025,0.897295305,12130,0.319274417,10719,0.141363596,4746,0.86,0.864,0.746,0.9575,0.78,0.815,0.818,1,0.898,0.146,0.094,0.589,0.12,0.292,0.123,0.046,0.73,245
Manassas Park,51685,Virginia,51,Non-Rural,0.171150498,2163,0.269346416,10475,0.828849502,0.897295305,3404,0.306140212,3869,0.253362874,3202,0.73,0.814,0.776,0.898,0.682,0.861,0.867,0.975,0.708,0.329,0.3,0.444,0.177,0.051,0.042,0.01,0.56,149
Sussex,51183,Virginia,51,Non-Rural,0.189820609,1820,0.431998331,7768,0.810179391,0.897295305,4142,0.259282436,2486,0.118898623,1140,0.784,0.822,0.768,,0.8475,0.882,0.741,0.897,0.9,0.172,0.087,0.281,0.276,0.233,0.124,0.022,0.66,40
Manassas City,51683,Virginia,51,Non-Rural,0.167557696,5046,0.271293375,25069,0.832442304,0.897295305,8170,0.284077702,8555,0.277071227,8344,0.686,0.85,0.664,0.888,0.64,0.943,0.971,0.84,0.568,0.39,0.336,0.392,0.108,0.164,0.071,0.013,0.6,250
Salem,51775,Virginia,51,Non-Rural,0.097250037,1991,0.284032628,18482,0.902749963,0.897295305,5815,0.375274752,7683,0.243442583,4984,0.808,0.838,0.698,0.8225,0.68,0.906,0.868,0.786,0.531,0.29,0.127,0.593,0.147,0.25,0.09,0.025,0.69,214
Charlotte,51037,Virginia,51,Rural,0.172590458,1617,0.406980467,7752,0.827409542,0.897295305,3813,0.321805956,3015,0.098623119,924,0.796,0.844,0.692,,0.843333333,0.856,0.769,0.949,0.769,0.126,0.063,0.308,0.051,0.356,0.203,0.027,0.65,77
Greensville,51081,Virginia,51,Rural,0.220495936,2143,0.407655109,7576,0.779504064,0.897295305,3962,0.286963679,2789,0.084885276,825,0.632785171,0.762105513,0.598303232,0.375484791,0.697927757,0.878,0.719,1,0.381,0.127,0.074,0,0,0.193,0.092,0.087,0,0
Isle of Wight,51093,Virginia,51,Non-Rural,0.118739429,3440,0.289496393,25531,0.881260571,0.897295305,8387,0.338234787,9799,0.253529391,7345,0.808,0.862,0.678,0.908,0.824,0.921,0.739,0.938,0.799,0.304,0.157,0.418,0.25,0.174,0.083,0.026,0.6,246
